Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
Dental Assistant,10+ years,,,,,26156240
cook,4 years,,,,39.0,45230777
general manager,10+ years,,,,39.0,9118416
Manager/Owner,8 years,,,,15.0,38769725
RN,2 years,,,,76.0,60154659
US ARMY,10+ years,,,,9.0,686838
Mental Health Therapist,7 years,,,,,11517839
floral designer,1 year,,,,,43632536
Office Manager,3 years,,,,,47571081
Billing Coordinator,10+ years,,,,25.0,46537839
Software Developer,5 years,,,,,42422833
it provider,7 years,,,,,22351446
San Diego USD,10+ years,,,,,9046834
collecting agent,10+ years,,,,75.0,65511435
saw tech,8 years,,,,,58619178
,,,,,18.0,32588069
Trainer ,4 years,,,,80.0,24746425
Legal Administrative Assistant,10+ years,,,,9.0,43445996
Electrician,8 years,,,,23.0,30044312
hvacr tech,< 1 year,,,,53.0,37746960
Orlando VA Medical Center,5 years,,,,31.0,1582280
Project Manager,< 1 year,,,,,46984130
Applied Industrial Technologies,3 years,,,,,8728251
Teacher,10+ years,,,,,71319635
Quorum Review,1 year,"  Borrower added on 10/29/12 > I fell into the trap of easy money through credit cards, which was sparked by being unemployed, receiving barely enough money to pay bills, and having nothing left over for groceries. Out came the credit cards. I want to secure my financial future before it's too late.<br>",,,,1958508
Material Handler,4 years,,,,,53845309
Walker & Moody Architects,5 years,"  Borrower added on 10/26/10 > This is a small loan to pay off my variable rate Wells Fargo CC (linked to my checking) which is a headache. At the end of the day, the interest rate and payment works out about the same, but being free from the variable rate on the linked account will offer great peace of mind. I have plenty of room in my monthly budget, especially given that the amount of the Lending Club loan payment is roughly equivalent to my current automatic payment. <br/><br/>I found I was very satisfied with the fixed rate structure of my auto loan and have been looking for a similar solution to this one pesky credit card.<br/><br/> I have worked with the same architectural firm for over 5 years (part time at first, then full time for about 4 years now), and my employment is both stable and comfortable. I look forward to your support in my process of eradicating debt and welcome any questions you may have about myself. Lastly, I hope to soon be on the other end of the Lending Club process.<br/>",,,69.0,733208
Health Program Analyst II,10+ years,,,,,69231988
Sales Coordinator,< 1 year,,,,,61606558
secretary,2 years,,,,10.0,41261439
Manager,10+ years,,,,5.0,64795803
head cook,6 years,,,,45.0,58820175
RN/Case Management,< 1 year,,,,,9296872
Registered Nurse,10+ years,,,,,24173947
Recruiter,4 years,,,,,55309699
San Francisco Public Library,10+ years,"  Borrower added on 12/11/11 > I always pay my bills on time but would like to have a better interest rate and have a consolidated payment,<br>",,,,1298795
Lead Analyst,8 years,,,,7.0,61864615
Stock Associate,< 1 year,,,,55.0,45127878
Truck Driver,10+ years,,,,43.0,62159514
Mitchell International,3 years,  Borrower added on 02/01/10 > Looking for a great way to consolidate debts. This is a great way. I have always paid my debts (never defaulted) and make 6 figure income.<br/>,,,,612113
Mdc operator,10+ years,,,,,16170288
Technical Project Manager,10+ years,,,,,23803658
Nurse practitioner,10+ years,,,,,28520375
Human Resources Manager,4 years,,,,40.0,47103053
MedAssets,10+ years,,,,,6977564
Nail technician ,3 years,,,,,71209044
ACCOUNT MANAGER,5 years,,,,17.0,49861562
nurse,3 years,,,,39.0,42133984
Southcoast Hospitals Group,10+ years,,,,9.0,7430596
Proposals Specialist,2 years,,,,23.0,22732405
Nurse Manager,4 years,,,,49.0,66502090
Universal banjer,4 years,,,,,65509260
Schwans Home Service,4 years,,,,9.0,7437711
,,,,,,1840351
HR ASSISTANT,2 years,,,,69.0,66354011
Sears Holdings,5 years,  Borrower added on 09/23/13 > This loan is for the cost to replace the heating boiler in my home.<br>,,,32.0,9048836
Avionics Technician,< 1 year,,,,18.0,41321180
RN ,10+ years,,,,,71191835
Releana Corp,2 years,"  Borrower added on 04/07/10 > Dear Lenders, I would like to consolidate debt and not use my credit cards.  Thank you very much.<br/> Borrower added on 04/17/10 > Appx. $50,000 in debt, $25,000 coming from my 401(k) and hopefully $25,000 from Lending Club.  I will expire in 4 days.  Thank you!<br/> Borrower added on 04/20/10 > $25,000 arriving this week from my 401(k) to pay down debt.  If I can get this loan, I'll be debt free in 3 years when I pay off this loan!  Exciting.  Thank you investors!!!<br/>",,,,645555
Nexus Management,10+ years,"  Borrower added on 02/14/12 > Total balance $17,096; rates of 9.9 - 22%; min pmt total $350, but I pay more.<br>",,,50.0,1391038
Billing Specialist,1 year,,,,24.0,14970998
Computer Technician,9 years,,,,45.0,28762112
Production Technician,3 years,,,,51.0,16981363
Assistant Airport Director,7 years,,,,,15840091
csa,10+ years,,,,0.0,65548319
Product Manager,3 years,,,,25.0,12316760
Caretenders ,4 years,,,,,6337369
Sales Manager,5 years,,,,62.0,65547509
Customer Service,3 years,,,,35.0,71189738
Systems Administrator,10+ years,,,,,70350127
Mechanic,10+ years,,,,15.0,57926118
School social worker,10+ years,,,,,69545911
Technician,10+ years,,,,44.0,59409007
Ryder Logistics,6 years,  Borrower added on 01/01/13 > Have some credit card debt and would like to get that taken care of.<br>,,,,3547027
Foreman  pipe fitter,4 years,,,,21.0,42861955
Supervisor,10+ years,,,,5.0,36054863
,,,,,,65533571
Investigator,4 years,,,,4.0,59299087
Project Interior Designer,7 years,,,,41.0,38458541
walgreens co,8 years,,,,,659685
Manager,10+ years,,,,,71105662
ANHEUSER BUSH SALES OF CANTON,10+ years, This loan is only a bridge to finish construction of a large addtion on our home we would be refinaning and consolidation  within a year we went over budget by 9000.00 aprox ,,,,521417
Enterprise Holdings LLC,10+ years,  Borrower added on 05/28/11 > This loan is to consolidate debt into one bill to maintain ease of pay and also to have a set end date to the loan.  I have a set plan to pay this debt off.<br/>,,,72.0,970648
Assistant Parts Manager,1 year,,,,,30095131
Saint-Gobain PPL,4 years,,,,50.0,8156749
captain,10+ years,,,,38.0,36214454
Manager,7 years,,,,,27079000
Resource Management Officer,10+ years,,,,14.0,47012755
Support Specialist,1 year,,,,14.0,59679434
Field service engineer ,< 1 year,,,93.1,,70319561
electrician,8 years,,,,,53955091
Director,10+ years,,,,11.0,22393157
WinCo Foods,10+ years,  Borrower added on 06/07/12 > I made poor choices with my credit cards before I knew how interest really worked.  I didn't realize what paying 20%-30% interest on revolving credit would mean or how long it would take to pay off.  I would like to make one payment (instead of 5) and see my balance go down.  I want to be debt free!<br><br> Borrower added on 06/10/12 > Consolidating my low balance but high interest cards into one payment with a lower APR is what I need to be debt free.  In three years I hope to be house shopping and the only way to do that is to clear out my debt and raise my credit.  This loan is a very neccessary last step toward my goal!<br>,,,51.0,1585516
eBay ,4 years,,,,28.0,8616753
Graphic Designer,10+ years,,,,36.0,67680900
Supervisor Business & Admin Services,1 year,,,,58.0,49931468
Appraisal Program Specialist/Trainee,1 year,,,,,37697816
fullfillment cooridnator,10+ years,,,,,49792576
Lawrence property management,10+ years,,,,,5266814
bartender,2 years,,,,13.0,49833690
L'Oreal USA,9 years, Consolidate high intrest credit card,,,38.0,414262
Vp & General manager ,3 years,,,,,58973528
Unit Coordinator,6 years,,,,46.0,26396325
instructor,8 years,,,,,20858083
,,,,,14.0,59560769
PSSR parts sales,7 years,,,,23.0,16741575
Production Tech,2 years,,,,,67249963
Lead granite installer,3 years,,,,,70021477
Agency Owner,3 years,,,73.5,,72368970
Department Supervisor,9 years,,,,51.0,48062879
CSR,2 years,,,44.4,,72707096
police officer,10+ years,  Borrower added on 12/07/13 > Pay off credit cards and make one payment<br>,,,,11536831
Administration,10+ years,,,,,51360352
ASST MANAGER,10+ years,,,,,58723519
Sr account executive,< 1 year,,,,43.0,19896716
Benior Produce buyer,10+ years,,,,13.0,14999138
Instrument  Technician ,2 years,,,,,48831879
Manager,10+ years,,,,9.0,59639345
Director of Human Resources,2 years,,,,,18334120
Dental hygienist,10+ years,,,,14.0,66522068
Dispatcher,3 years,,,,82.0,49797841
Table Games Supervisor,7 years,,,,,10108496
Supervisor,5 years,,,,,44948234
Registered Nurse,3 years,,,,,67059196
Specialist,3 years,,,,,70230118
Catering Guest Services Manager,10+ years,,,,20.0,67340373
Project Manager,10+ years,,,,24.0,37877494
Accounting Associate,2 years,,,,,8579113
otr truck driver,2 years,,,,,48462419
Director of Leasing,2 years,,,,2.0,21328838
Teacher,1 year,,,99.1,1.0,72218656
Pipefitter Helper,1 year,,,,,59689446
CT Tech,9 years,,,,7.0,43967494
medina supply company,10+ years,  Borrower added on 01/27/13 > get rid of higher rate credit cards<br><br>  Borrower added on 01/29/13 > Anyone thinking about investing in me know that I am a good honest hard working person just trying to make everything a little better for my family.thank you.   I am good for repayment<br>,,,,4059059
Sendiks,3 years,,,,36.0,7347817
Lending,10+ years,,,,,53622177
Programmer Analyst,3 years,,,,,59740443
tech,10+ years,,,,,60908672
branch manager,1 year,,,,55.0,54576992
Thunderbird School of Global Management,10+ years,"  Borrower added on 08/08/12 > Operation Banish Debt-having one manageable monthly payment rather than dealing with multiple due dates and companies would help tremendously in my future goal of purchasing a home and the comfort knowing the loan would be paid in 5 years.  Thank you for your consideration and future investment!<br><br>  Borrower added on 08/13/12 > I am absolutely amazed and humbled that 99 investors have already signed up to fund my request; I was unsure about peer to peer lending, but I can honestly say this is one of the more rewarding and unique lending experiences.  Thank you, investors, for your support.<br>",,,22.0,1721479
Store Manager,4 years,,,,53.0,65812075
"Medical Director, Hospitalist",5 years,,,,,70314978
,,,,,62.0,18515248
Armani exchange,3 years,,,,,7690872
Plant Operator B,< 1 year,,,,,18764790
Financial Aid Coordinator,10+ years,  Borrower added on 11/19/13 > paying off credit cards<br>,,,,10781885
Medin Corp,3 years," I am buying an engagement ring for my girlfriend.  I have several bank accounts with Valley National Bank in Wayne NJ some of which I have had over 15 years.  In that time I have had 3 personal loans and 1 auto loan.  All 4 loans were paid off early.  I bought a house in Midland Park with my brother in May of 2007.  The mortgage is $2900 a month.  I pay 50% and my brother pays 50%.  I contacted Valley about a personal loan for the engagement ring and they say that my 88,000.00 annual gross income doesn't cover my $2900 a month mortgage.  I explained to them that I only pay $1400 a month because I split the payment with my brother.  My brother and I both have Valley National Bank.  Valley can see we have a joint account for the last 2 -1/2 years that we both contribute equally and house expenses get deducted from this account.  Valley says that they need a cosigner on the loan because they can not assume that I split the mortgage even though they can plainly see we do split.  I would consider asking my brother or another family member to cosign on a Valley loan but I do not want anyone knowing my intentions to propose.  I am in a bit of a bind.  I need a personal loan for $6000.00 without any penalties for paying off early.  I also want it directly deducted from my checking account monthly.   ",,,63.0,521942
,,,,,,63622964
Cable Company,2 years,  Borrower added on 04/02/13 > I am using the loan to pay off my credit card debt.  I have had this CC debt for the past 5 years since moving out on my own in addition to my student loans. The APR on the current CC debt is 29% so I have been paying the minimum and have not yet been able to make a dent in paying off the balance.<br><br>  Borrower added on 04/03/13 > I am using the loan to pay off my credit card debt. The APR on the current CC debt is 29.99% so making a dent in paying off the balance has been difficult!  I know this loan will rid me of the stress of living with this CC debt and put me on the right track for better managing my finances.<br>,,,,5328345
SBA Procesing Specialist,7 years,,,,,31067007
Architect,1 year,,,,,68760857
Shop Foreman,< 1 year,,,,,45252459
standard locknut,10+ years,  Borrower added on 04/13/13 > pay off credit cards and higher interest loans<br>,,,26.0,5481496
acoounting clerk,10+ years,,,,,43246816
Vice President,3 years,,,61.9,48.0,72969940
,,,,,,1015779
Net Results Inc.,9 years,,,,39.0,6927120
Vice President,1 year,,,,,41314174
Welder ,4 years,,,,25.0,65902207
,,,,,57.0,42383212
"AEP Industries, Inc.",4 years,,,,65.0,1506450
National Account Manager,2 years,,,,13.0,65590964
Cage Manager,10+ years,,,,,32818451
Ronald S. Haft,5 years,"  Borrower added on 04/04/13 > My Jeep Wrangler, which was partially funded by my other current Lending Club loan, is showing some wear and tear.  I would like to buy a new soft top, new seats, and new carpeting for it and I'd like to get it all done simultaneously because I like to take care of my investment :)  Thanks!<br>",,,,5299820
Genesis healthcare,3 years,  Borrower added on 08/28/12 > To payoff my credit cards.<br>,,,,1745396
S & R Engineers,10+ years,,,,13.0,1962506
Supervisor,6 years,,,,59.0,41407933
Highland Metals Inc,10+ years,"  Borrower added on 10/04/11 > Consolidate Bills<br/> Borrower added on 10/04/11 > I use the fund to consolidate bills and invest, I have a stable job that I have been working over 14 years;<br/>",,,35.0,1195059
,,,,,44.0,44846830
customer care agent,10+ years,,,,69.0,41228871
housekeeping rm attendant,6 years,  Borrower added on 03/15/14 > loan consolidation (credit cards)<br>,,,,14517286
Specialist,6 years,,,,7.0,46466137
Financia Analyst III,< 1 year,,,,,71137819
,10+ years,"  Borrower added on 06/18/12 > Power tools, Air compressor with tools, large tool box, jack stands, mechanic's tools. Tire balance machine and tire installer machine.<br>",,,,1609102
US Army,10+ years,,,,15.0,7642958
Intructor,10+ years,,,80.9,32.0,72079630
Senior Strategic Operations Manager,2 years,,,,11.0,64352796
Maintence,5 years,,,,,34702201
Sr Portfolio Administrator,2 years,,,,,42376058
Teacher,8 years,,,,,22311766
Database Analyst,10+ years,,,,17.0,48391827
Edward Jones,1 year,I just bought a new house and I have a bought a cheap little car to drive everyday.  Now I would like to pay off everything else and consolidate everything into ONE payment.  I only get payed once a month and it would just be easier to get everything into one payment and lower my interest so I can actually pay it off rather than just making the minimum.  I recently borrowed from lending lcub and it has really worked out.  Now if I can put everything into one payment would be terrific.  Help if you can.  Thanks,,,60.0,354985
